Home,Away,Wk,HomeGoals,AwayGoals,FTR,HomeShots,AwayShots,HomeShotsOnTarget,AwayShotsOnTarget,HomeFouls,AwayFouls,HomeCorners,AwayCorners,HomeYellow,AwayYellow,HomeRed,AwayRed,B365H,B365D,B365A
Betis,Huesca,37,2,1,H,17,9,8,2,13,15,9,2,3,5,0,1,1.55,4.33,5.75
Girona,Levante,37,1,2,A,14,6,6,2,15,16,9,2,2,3,0,0,2.15,3.6,3.2
Leganés,Espanyol,37,0,2,A,11,19,4,7,11,9,6,7,4,1,1,0,2.4,3.5,2.87
Rayo Vallecano,Valladolid,37,1,0,H,9,11,4,3,15,18,4,4,0,3,0,0,1.14,9,15
Real Sociedad,Real Madrid,37,0,0,D,10,8,1,1,8,17,7,7,1,3,0,0,2.75,3.5,2.45
Valencia,Alavés,37,0,1,A,15,10,5,4,9,12,7,2,3,2,0,0,2.2,3.1,3.6
Villarreal,Eibar,37,1,0,H,11,4,3,0,11,14,5,3,3,2,0,0,1.6,4.33,5
Alavés,Girona,38,2,1,H,14,13,7,4,13,10,6,4,3,3,0,0,2.25,3.5,3.1
Celta Vigo,Rayo Vallecano,38,2,4,A,15,14,4,5,19,13,5,1,4,2,1,0,5,4.5,1.55
Eibar,Barcelona,38,2,2,D,15,6,8,3,11,3,5,2,4,2,0,0,3.6,4,1.9
Espanyol,Real Sociedad,38,2,0,H,9,11,4,2,13,13,4,5,3,2,0,0,2.3,3.6,3
Getafe,Villarreal,38,2,2,D,17,8,5,4,16,20,6,4,2,3,0,0,1.61,4.2,5.25
Huesca,Leganés,38,2,1,H,15,9,6,1,18,12,4,6,0,1,0,0,2.5,3.75,2.62
Levante,Atlético Madrid,38,2,2,D,17,17,7,8,9,7,6,4,0,1,0,1,3.75,3.75,1.95
Real Madrid,Betis,38,3,2,H,11,12,5,7,18,8,5,4,6,3,0,0,1.66,4,5
Sevilla,Athletic Club,38,2,0,H,11,4,3,1,12,13,6,2,0,3,0,0,2,3.3,4
Valladolid,Valencia,38,1,2,A,16,9,5,6,13,9,4,2,2,2,0,0,4.2,3.8,1.8
